figure,pdf_page,metric,model,condition,value,displayed_value,decimal_places,evidence
4,8,macro_auroc,I-JEPA-H/300,clean,0.91,0.91,2,paper_reported
4,8,macro_auroc,I-JEPA-H/300,noise 0.05,0.64,0.64,2,paper_reported
4,8,macro_auroc,I-JEPA-H/300,noise 0.10,0.59,0.59,2,paper_reported
4,8,macro_auroc,I-JEPA-H/300,noise 0.20,0.57,0.57,2,paper_reported
4,8,macro_auroc,I-JEPA-H/300,noise 0.30,0.55,0.55,2,paper_reported
4,8,macro_auroc,I-JEPA-H/300,blur 0.5,0.91,0.91,2,paper_reported
4,8,macro_auroc,I-JEPA-H/300,blur 1.0,0.86,0.86,2,paper_reported
4,8,macro_auroc,I-JEPA-H/300,blur 2.0,0.75,0.75,2,paper_reported
4,8,macro_auroc,I-JEPA-H/300,blur 3.0,0.7,0.70,2,paper_reported
4,8,macro_auroc,I-JEPA-H/300,bright -0.2,0.91,0.91,2,paper_reported
4,8,macro_auroc,I-JEPA-H/300,bright -0.1,0.91,0.91,2,paper_reported
4,8,macro_auroc,I-JEPA-H/300,bright +0.1,0.9,0.90,2,paper_reported
4,8,macro_auroc,I-JEPA-H/300,bright +0.2,0.86,0.86,2,paper_reported
4,8,macro_auroc,I-JEPA-H/300,contrast 0.5,0.88,0.88,2,paper_reported
4,8,macro_auroc,I-JEPA-H/300,contrast 1.5,0.86,0.86,2,paper_reported
4,8,macro_auroc,MAE-H/300,clean,0.89,0.89,2,paper_reported
4,8,macro_auroc,MAE-H/300,noise 0.05,0.78,0.78,2,paper_reported
4,8,macro_auroc,MAE-H/300,noise 0.10,0.62,0.62,2,paper_reported
4,8,macro_auroc,MAE-H/300,noise 0.20,0.49,0.49,2,paper_reported
4,8,macro_auroc,MAE-H/300,noise 0.30,0.48,0.48,2,paper_reported
4,8,macro_auroc,MAE-H/300,blur 0.5,0.88,0.88,2,paper_reported
4,8,macro_auroc,MAE-H/300,blur 1.0,0.84,0.84,2,paper_reported
4,8,macro_auroc,MAE-H/300,blur 2.0,0.78,0.78,2,paper_reported
4,8,macro_auroc,MAE-H/300,blur 3.0,0.73,0.73,2,paper_reported
4,8,macro_auroc,MAE-H/300,bright -0.2,0.88,0.88,2,paper_reported
4,8,macro_auroc,MAE-H/300,bright -0.1,0.89,0.89,2,paper_reported
4,8,macro_auroc,MAE-H/300,bright +0.1,0.88,0.88,2,paper_reported
4,8,macro_auroc,MAE-H/300,bright +0.2,0.81,0.81,2,paper_reported
4,8,macro_auroc,MAE-H/300,contrast 0.5,0.81,0.81,2,paper_reported
4,8,macro_auroc,MAE-H/300,contrast 1.5,0.82,0.82,2,paper_reported
4,8,auroc_drop_displayed,I-JEPA-H/300,clean,0.0,0.00,2,paper_reported
4,8,auroc_drop_displayed,I-JEPA-H/300,noise 0.05,0.27,0.27,2,paper_reported
4,8,auroc_drop_displayed,I-JEPA-H/300,noise 0.10,0.32,0.32,2,paper_reported
4,8,auroc_drop_displayed,I-JEPA-H/300,noise 0.20,0.34,0.34,2,paper_reported
